Mes/Año;Producto;Variedad;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio;Precio ponderado mayorista;Volumen mayorista;Descripcion volumen;Descripcion precio
mar-19;Durazno;September Sweet;Primera;$/kilo;500;1.400;888;300;7200;18*bins (400 kilos);120000/bins (400 kilos)
mar-19;Durazno;September Sweet;Segunda;$/kilo;400;800;601;200;4000;10*bins (400 kilos);80000/bins (400 kilos)
abr-19;Durazno;September Sweet;Primera;$/kilo;800;1.000;857;;;;
abr-19;Durazno;September Sweet;Segunda;$/kilo;500;700;600;;;;
dic-19;Durazno;Springcrest;Primera;$/kilo;700;1.700;1.137;455;37200;93*bins (400 kilos);182043/bins (400 kilos)
dic-19;Durazno;Springcrest;Segunda;$/kilo;600;1.000;837;359;36800;92*bins (400 kilos);143478/bins (400 kilos)
ene-20;Durazno;Springcrest;Primera;$/kilo;800;1.500;1.122;;;;
ene-20;Durazno;Springcrest;Segunda;$/kilo;500;1.200;783;;;;
feb-20;Durazno;September Sun;Primera;$/kilo;600;1.500;977;356;26400;66*bins (400 kilos);142424/bins (400 kilos)
feb-20;Durazno;September Sun;Segunda;$/kilo;400;1.000;740;294;16800;42*bins (400 kilos);117619/bins (400 kilos)
mar-20;Durazno;September Sweet;Primera;$/kilo;600;1.700;1.051;313;13600;34*bins (400 kilos);125294/bins (400 kilos)
mar-20;Durazno;September Sweet;Segunda;$/kilo;500;1.000;765;;;;
mar-19;Frambuesa;Sin especificar;Primera;$/kilo;1.600;3.000;2.186;;;;
mar-19;Frambuesa;Sin especificar;Segunda;$/kilo;1.800;2.600;2.300;;;;
abr-19;Frambuesa;Sin especificar;Primera;$/kilo;1.800;4.000;2.455;;;;
abr-19;Frambuesa;Sin especificar;Segunda;$/kilo;1.500;3.000;2.248;;;;
may-19;Frambuesa;Sin especificar;Primera;$/kilo;1.800;4.000;2.786;;;;
ene-20;Frambuesa;Sin especificar;Primera;$/kilo;1.500;3.000;2.352;1.546;660;330*bandeja 2 kilos;3091/bandeja 2 kilos
ene-20;Frambuesa;Sin especificar;Segunda;$/kilo;1.500;2.500;2.030;;;;
feb-20;Frambuesa;Sin especificar;Primera;$/kilo;1.800;3.200;2.540;;;;
feb-20;Frambuesa;Sin especificar;Segunda;$/kilo;2.000;3.000;2.350;;;;
mar-20;Frambuesa;Sin especificar;Primera;$/kilo;1.500;4.000;3.057;;;;
mar-20;Frambuesa;Sin especificar;Segunda;$/kilo;2.200;2.500;2.450;;;;
mar-19;Frutilla;Sin especificar;Primera;$/kilo;750;1.500;1.084;759;65240;9320*bandeja 7 kilos;5319/bandeja 7 kilos
mar-19;Frutilla;Sin especificar;Segunda;$/kilo;690;1.000;753;482;44030;6290*bandeja 7 kilos;3376/bandeja 7 kilos
abr-19;Frutilla;Sin especificar;Primera;$/kilo;790;1.600;1.100;817;51240;7320*bandeja 7 kilos;5717/bandeja 7 kilos
abr-19;Frutilla;Sin especificar;Segunda;$/kilo;600;1.200;787;519;38150;5450*bandeja 7 kilos;3636/bandeja 7 kilos
may-19;Frutilla;Sin especificar;Primera;$/kilo;800;1.600;1.168;943;39690;5670*bandeja 7 kilos;6601/bandeja 7 kilos
may-19;Frutilla;Sin especificar;Segunda;$/kilo;700;1.200;901;557;20370;2910*bandeja 7 kilos;3900/bandeja 7 kilos
oct-19;Frutilla;Sin especificar;Primera;$/kilo;700;2.000;1.160;849;183960;26280*bandeja 7 kilos;5944/bandeja 7 kilos
oct-19;Frutilla;Sin especificar;Segunda;$/kilo;600;1.500;836;521;92540;13220*bandeja 7 kilos;3645/bandeja 7 kilos
nov-19;Frutilla;Sin especificar;Primera;$/kilo;900;1.800;1.214;843;126840;18120*bandeja 7 kilos;5901/bandeja 7 kilos
nov-19;Frutilla;Sin especificar;Segunda;$/kilo;650;1.000;856;550;80220;11460*bandeja 7 kilos;3852/bandeja 7 kilos
dic-19;Frutilla;Sin especificar;Primera;$/kilo;800;2.000;1.259;929;134330;19190*bandeja 7 kilos;6502/bandeja 7 kilos
dic-19;Frutilla;Sin especificar;Segunda;$/kilo;700;1.400;960;596;83790;11970*bandeja 7 kilos;4175/bandeja 7 kilos
ene-20;Frutilla;Sin especificar;Primera;$/kilo;900;2.000;1.336;924;109060;15580*bandeja 7 kilos;6468/bandeja 7 kilos
ene-20;Frutilla;Sin especificar;Segunda;$/kilo;750;1.400;1.047;567;45885;6555*bandeja 7 kilos;3971/bandeja 7 kilos
feb-20;Frutilla;Sin especificar;Primera;$/kilo;1.000;1.900;1.356;1.165;75.950;10850*bandeja 7 kilos;8161/bandeja 7 kilos
feb-20;Frutilla;Sin especificar;Segunda;$/kilo;800;1.300;1.088;802;18550;2650*bandeja 7 kilos;5615/bandeja 7 kilos
mar-20;Frutilla;Sin especificar;Primera;$/kilo;1.000;2.700;1.530;1.116;71.890;10270*bandeja 7 kilos;7813/bandeja 7 kilos
mar-20;Frutilla;Sin especificar;Segunda;$/kilo;890;1.400;1.143;780;37485;5355*bandeja 7 kilos;5457/bandeja 7 kilos
may-19;Kiwi;Hayward;Primera;$/kilo;390;900;595;265;39.600;88*bins (450 kilos);119318/bins (450 kilos)
may-19;Kiwi;Hayward;Segunda;$/kilo;300;600;431;167;4500;10*bins (450 kilos);75000/bins (450 kilos)
jun-19;Kiwi;Hayward;Primera;$/kilo;400;1.200;591;285;14.400;32*bins (450 kilos);128125/bins (450 kilos)
jun-19;Kiwi;Hayward;Segunda;$/kilo;300;600;421;248;16650;37*bins (450 kilos);111486/bins (450 kilos)
jul-19;Kiwi;Hayward;Primera;$/kilo;400;1.000;623;297;59.400;135*bins (450 kilos);133778/bins (450 kilos)
jul-19;Kiwi;Hayward;Segunda;$/kilo;200;700;465;245;42300;94*bins (450 kilos);110372/bins (450 kilos)
ago-19;Kiwi;Hayward;Primera;$/kilo;500;1.300;693;;;;
ago-19;Kiwi;Hayward;Segunda;$/kilo;300;800;497;;;;
sept-19;Kiwi;Hayward;Primera;$/kilo;490;1.450;815;;;;
sept-19;Kiwi;Hayward;Segunda;$/kilo;400;800;580;;;;
oct-19;Kiwi;Hayward;Primera;$/kilo;700;1.500;1.039;;;;
oct-19;Kiwi;Hayward;Segunda;$/kilo;500;890;735;;;;
