Mes/Año;Producto;Variedad;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio;Precio ponderado mayorista;Volumen mayorista;Descripcion volumen;Descripcion precio
mar-19;Ajo;Chino;Primera;$/unidad;100;350;191;80;19000;380*trenza de 50 unidades;4000/trenza de 50 unidades
mar-19;Ajo;Chino;Segunda;$/unidad;100;200;115;60;10000;200*trenza de 50 unidades ;3000/trenza de 50 unidades
abr-19;Ajo;Chino;Primera;$/unidad;100;350;183;74;22000;440*trenza de 50 unidades;3670/trenza de 50 unidades
abr-19;Ajo;Chino;Segunda;$/unidad;100;150;109;56;18000;360*trenza de 50 unidades;2860/trenza de 50 unidades 
may-19;Ajo;Chino;Primera;$/unidad;100;350;173;75;39500;790*trenza de 50 unidades;3722/trenza de 50 unidades
may-19;Ajo;Chino;Segunda;$/unidad;70;166;113;56;73500;1470*trenza de 50 unidades;2799/trenza de 50 unidades
jun-19;Ajo;Chino;Primera;$/unidad;100;400;186;;;;
jun-19;Ajo;Chino;Segunda;$/unidad;100;300;122;;;;
jul-19;Ajo;Chino;Primera;$/unidad;100;400;200;;;;
jul-19;Ajo;Chino;Segunda;$/unidad;100;166;125;;;;
ago-19;Ajo;Chino;Primera;$/unidad;150;350;215;;;;
ago-19;Ajo;Chino;Segunda;$/unidad;100;200;134;;;;
sept-19;Ajo;Chino;Primera;$/unidad;150;400;218;;;;
sept-19;Ajo;Chino;Segunda;$/unidad;100;300;146;;;;
oct-19;Ajo;Chino;Primera;$/unidad;150;400;216;80;31000;;1600/paquete 20 unidades
oct-19;Ajo;Chino;Segunda;$/unidad;100;200;140;60;26000;;1200/paquete 20 unidades
nov-19;Ajo;Chino;Primera;$/unidad;100;400;214;72;469000;;1436/paquete 20 unidades
nov-19;Ajo;Chino;Segunda;$/unidad;100;200;133;51;349000;;1018/paquete 20 unidades
dic-19;Ajo;Chino;Primera;$/unidad;100;400;208;75;79000;;1500/paquete  20 unidades
dic-19;Ajo;Chino;Segunda;$/unidad;70;200;137;50;65000;;1000/paquete 20 unidades
ene-20;Ajo;Chino;Primera;$/unidad;150;400;224;114;46000;920*trenza 50 unidades;5696/trenza 50 unidades
ene-20;Ajo;Chino;Segunda;$/unidad;100;250;148;93;44000;880*trenza 50 unidades;4625/trenza 50 unidades
feb-20;Ajo;Chino;Primera;$/unidad;166;400;251;200;8500;170*trenza 50 unidades;10000/trenza 50 unidades
feb-20;Ajo;Chino;Segunda;$/unidad;100;250;167;160;6500;130*trenza 50 unidades;8000/trenza 50 unidades
mar-20;Ajo;Chino;Primera;$/unidad;150;450;282;200;12500;250*trenza de 50 unidades;10000/trenza de 50 unidades
mar-20;Ajo;Chino;Segunda;$/unidad;150;250;177;160;6000;120*trenza 50 unidades;8000/trenza 50 unidades
may-19;Alcachofa;Española;Primera;$/unidad;200;900;466;;;;
may-19;Alcachofa;Española;Segunda;$/unidad;400;1.000;650;;;;
jun-19;Alcachofa;Española;Primera;$/unidad;200;800;433;;;;
jun-19;Alcachofa;Española;Segunda;$/unidad;150;400;320;;;;
jul-19;Alcachofa;Española;Primera;$/unidad;250;800;450;;;;
jul-19;Alcachofa;Española;Segunda;$/unidad;200;600;325;;;;
ago-19;Alcachofa;Española;Primera;$/unidad;200;700;454;;;;
ago-19;Alcachofa;Española;Segunda;$/unidad;200;400;346;;;;
sept-19;Alcachofa;Española;Primera;$/unidad;200;700;368;132;76500;;
sept-19;Alcachofa;Española;Segunda;$/unidad;166;400;281;100;30600;;
oct-19;Alcachofa;Española;Primera;$/unidad;166;700;296;237;370000;;
oct-19;Alcachofa;Española;Segunda;$/unidad;130;600;233;185;197000;;
nov-19;Alcachofa;Española;Primera;$/unidad;125;600;225;115;531000;;
nov-19;Alcachofa;Española;Segunda;$/unidad;100;300;155;86;327000;;
mar-19;Apio;Americana (o);Primera;$/unidad;600;1.500;935;;;;
mar-19;Apio;Americana (o);Segunda;$/unidad;500;1.000;719;;;;
abr-19;Apio;Americana (o);Primera;$/unidad;600;1.500;955;469;21600;1800*docena de matas;5622/docena de matas
abr-19;Apio;Americana (o);Segunda;$/unidad;400;1.000;746;325;11880;990*docena de matas;3899/docena de matas
may-19;Apio;Americana (o);Primera;$/unidad;600;1.500;895;;;;
may-19;Apio;Americana (o);Segunda;$/unidad;400;1.200;659;;;;
jun-19;Apio;Americana (o);Primera;$/unidad;600;1.500;918;;;;
jun-19;Apio;Americana (o);Segunda;$/unidad;500;1.000;646;;;;
jul-19;Apio;Americana (o);Primera;$/unidad;600;1.500;914;;;;
jul-19;Apio;Americana (o);Segunda;$/unidad;500;1.000;665;;;;
ago-19;Apio;Americana (o);Primera;$/unidad;600;1.500;959;;;;
ago-19;Apio;Americana (o);Segunda;$/unidad;500;1.000;736;;;;
sept-19;Apio;Americana (o);Primera;$/unidad;600;1.500;875;500;8400;700*docena de matas;6000/docena de matas
sept-19;Apio;Americana (o);Segunda;$/unidad;500;1.000;641;;;;
oct-19;Apio;Americana (o);Primera;$/unidad;500;1.500;875;297;10560;880*docena de matas;3568/docena de matas
oct-19;Apio;Americana (o);Segunda;$/unidad;400;800;624;277;33600;2800*docena de matas;3325/docena de matas
nov-19;Apio;Americana (o);Primera;$/unidad;500;1.500;900;444;10800;900*docena de matas;5333/docena de matas
nov-19;Apio;Americana (o);Segunda;$/unidad;500;900;673;264;10800;900*docena de matas;3167/docena de matas
dic-19;Apio;Americana (o);Primera;$/unidad;600;2.000;1.035;;;;
dic-19;Apio;Americana (o);Segunda;$/unidad;600;1.000;763;;;;
ene-20;Apio;Americana (o);Primera;$/unidad;700;2.000;1.203;;;;
ene-20;Apio;Americana (o);Segunda;$/unidad;600;1.200;911;;;;
feb-20;Apio;Americana (o);Primera;$/unidad;1.000;1.800;1.236;651;39.000;3250*docena de matas;7808/docena de matas
feb-20;Apio;Americana (o);Segunda;$/unidad;800;1.500;976;458;36000;3000*docena de matas;5500/docena de matas
mar-20;Apio;Americana (o);Primera;$/unidad;700;2.000;1.070;441;119040;9923*docena de matas;5299/docena de matas
mar-20;Apio;Americana (o);Segunda;$/unidad;500;1.400;813;360;70560;5880*docena de matas;4319/docena de matas
mar-19;Arveja Verde;Sin especificar;Primera;$/kilo;800;1.600;1.083;;;;
mar-19;Arveja Verde;Sin especificar;Segunda;$/kilo;800;800;800;;;;
abr-19;Arveja Verde;Sin especificar;Primera;$/kilo;800;1.400;1.060;;;;
abr-19;Arveja Verde;Sin especificar;Segunda;$/kilo;800;900;833;;;;
may-19;Arveja Verde;Sin especificar;Primera;$/kilo;800;1.500;1.145;;;;
may-19;Arveja Verde;Sin especificar;Segunda;$/kilo;800;1.000;933;;;;
jun-19;Arveja Verde;Sin especificar;Primera;$/kilo;800;1.600;1.141;;;;
jun-19;Arveja Verde;Sin especificar;Segunda;$/kilo;750;1.000;883;;;;
jul-19;Arveja Verde;Sin especificar;Primera;$/kilo;700;1.600;1.117;;;;
jul-19;Arveja Verde;Sin especificar;Segunda;$/kilo;600;1.200;985;;;;
ago-19;Arveja Verde;Sin especificar;Primera;$/kilo;700;1.600;1.139;;;;
ago-19;Arveja Verde;Sin especificar;Segunda;$/kilo;1.000;1.200;1.014;;;;
sept-19;Arveja Verde;Sin especificar;Primera;$/kilo;700;1.600;1.089;;;;
sept-19;Arveja Verde;Sin especificar;Segunda;$/kilo;800;1.200;943;;;;
oct-19;Arveja Verde;Sin especificar;Primera;$/kilo;700;1.500;1.028;629;40750;1630*malla 25 kilos;15724/malla 25 kilos
oct-19;Arveja Verde;Sin especificar;Segunda;$/kilo;500;1.200;861;;;;
nov-19;Arveja Verde;Sin especificar;Primera;$/kilo;600;1.500;942;619;93750;3750*malla 25 kilos;15464/malla 25 kilos
nov-19;Arveja Verde;Sin especificar;Segunda;$/kilo;500;1.000;700;480;5000;200*malla 25 kilos;12000/malla 25 kilos
dic-19;Arveja Verde;Sin especificar;Primera;$/kilo;500;1.500;933;;;;
dic-19;Arveja Verde;Sin especificar;Segunda;$/kilo;600;1.000;679;;;;
ene-20;Arveja Verde;Sin especificar;Primera;$/kilo;700;1.800;1.020;;;;
ene-20;Arveja Verde;Sin especificar;Segunda;$/kilo;700;800;756;;;;
feb-20;Arveja Verde;Sin especificar;Primera;$/kilo;800;1.600;1.111;;;;
feb-20;Arveja Verde;Sin especificar;Segunda;$/kilo;700;1.200;943;;;;
mar-20;Arveja Verde;Sin especificar;Primera;$/kilo;700;1.400;1.030;;;;
mar-20;Arveja Verde;Sin especificar;Segunda;$/kilo;800;1.000;858;;;;
mar-19;Brócoli;Sin especificar;Primera;$/unidad;500;2.600;808;528;191500;;
mar-19;Brócoli;Sin especificar;Segunda;$/unidad;400;1.000;571;370;64500;;
abr-19;Brócoli;Sin especificar;Primera;$/unidad;600;1.500;973;741;202900;;
abr-19;Brócoli;Sin especificar;Segunda;$/unidad;500;1.000;704;507;72900;;
may-19;Brócoli;Sin especificar;Primera;$/unidad;600;1.400;893;670;10700;;
may-19;Brócoli;Sin especificar;Segunda;$/unidad;500;800;683;500;2500;;
jun-19;Brócoli;Sin especificar;Primera;$/unidad;600;1.400;842;508;163200;;
jun-19;Brócoli;Sin especificar;Segunda;$/unidad;400;1.000;631;371;61200;;
jul-19;Brócoli;Sin especificar;Primera;$/unidad;500;1.200;821;573;38800;;
jul-19;Brócoli;Sin especificar;Segunda;$/unidad;300;800;611;437;15600;;
ago-19;Brócoli;Sin especificar;Primera;$/unidad;450;1.200;727;462;165400;;
ago-19;Brócoli;Sin especificar;Segunda;$/unidad;250;700;488;297;79800;;
sept-19;Brócoli;Sin especificar;Primera;$/unidad;400;1.000;737;452;283400;;
