Mes_escrito;Mes;Anio;Mes/Año;Producto;Variedad;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio;Precio ponderado mayorista;Volumen mayorista;Descripcion volumen;Descripcion precio
Marzo;3;2019;mar-19;Ajo;Chino;Primera;$/unidad;100;350;191;80;19000;380*trenza de 50 unidades;4000/trenza de 50 unidades
Marzo;3;2019;mar-19;Ajo;Chino;Segunda;$/unidad;100;200;115;60;10000;200*trenza de 50 unidades ;3000/trenza de 50 unidades
Abril;4;2019;abr-19;Ajo;Chino;Primera;$/unidad;100;350;183;74;22000;440*trenza de 50 unidades;3670/trenza de 50 unidades
Abril;4;2019;abr-19;Ajo;Chino;Segunda;$/unidad;100;150;109;56;18000;360*trenza de 50 unidades;2860/trenza de 50 unidades 
Mayo;5;2019;may-19;Ajo;Chino;Primera;$/unidad;100;350;173;75;39500;790*trenza de 50 unidades;3722/trenza de 50 unidades
Mayo;5;2019;may-19;Ajo;Chino;Segunda;$/unidad;70;166;113;56;73500;1470*trenza de 50 unidades;2799/trenza de 50 unidades
Junio;6;2019;jun-19;Ajo;Chino;Primera;$/unidad;100;400;186;;;;
Junio;6;2019;jun-19;Ajo;Chino;Segunda;$/unidad;100;300;122;;;;
Julio;7;2019;jul-19;Ajo;Chino;Primera;$/unidad;100;400;200;;;;
Julio;7;2019;jul-19;Ajo;Chino;Segunda;$/unidad;100;166;125;;;;
Agosto;8;2019;ago-19;Ajo;Chino;Primera;$/unidad;150;350;215;;;;
Agosto;8;2019;ago-19;Ajo;Chino;Segunda;$/unidad;100;200;134;;;;
Septiembre;9;2019;sept-19;Ajo;Chino;Primera;$/unidad;150;400;218;;;;
Septiembre;9;2019;sept-19;Ajo;Chino;Segunda;$/unidad;100;300;146;;;;
Octubre;10;2019;oct-19;Ajo;Chino;Primera;$/unidad;150;400;216;80;31000;;1600/paquete 20 unidades
Octubre;10;2019;oct-19;Ajo;Chino;Segunda;$/unidad;100;200;140;60;26000;;1200/paquete 20 unidades
Noviembre;11;2019;nov-19;Ajo;Chino;Primera;$/unidad;100;400;214;72;469000;;1436/paquete 20 unidades
Noviembre;11;2019;nov-19;Ajo;Chino;Segunda;$/unidad;100;200;133;51;349000;;1018/paquete 20 unidades
Diciembre;12;2019;dic-19;Ajo;Chino;Primera;$/unidad;100;400;208;75;79000;;1500/paquete  20 unidades
Diciembre;12;2019;dic-19;Ajo;Chino;Segunda;$/unidad;70;200;137;50;65000;;1000/paquete 20 unidades
Enero;1;2020;ene-20;Ajo;Chino;Primera;$/unidad;150;400;224;114;46000;920*trenza 50 unidades;5696/trenza 50 unidades
Enero;1;2020;ene-20;Ajo;Chino;Segunda;$/unidad;100;250;148;93;44000;880*trenza 50 unidades;4625/trenza 50 unidades
Febrero;2;2020;feb-20;Ajo;Chino;Primera;$/unidad;166;400;251;200;8500;170*trenza 50 unidades;10000/trenza 50 unidades
Febrero;2;2020;feb-20;Ajo;Chino;Segunda;$/unidad;100;250;167;160;6500;130*trenza 50 unidades;8000/trenza 50 unidades
Marzo;3;2020;mar-20;Ajo;Chino;Primera;$/unidad;150;450;282;200;12500;250*trenza de 50 unidades;10000/trenza de 50 unidades
Marzo;3;2020;mar-20;Ajo;Chino;Segunda;$/unidad;150;250;177;160;6000;120*trenza 50 unidades;8000/trenza 50 unidades
Mayo;5;2019;may-19;Alcachofa;Española;Primera;$/unidad;200;900;466;;;;
Mayo;5;2019;may-19;Alcachofa;Española;Segunda;$/unidad;400;1.000;650;;;;
Junio;6;2019;jun-19;Alcachofa;Española;Primera;$/unidad;200;800;433;;;;
Junio;6;2019;jun-19;Alcachofa;Española;Segunda;$/unidad;150;400;320;;;;
Julio;7;2019;jul-19;Alcachofa;Española;Primera;$/unidad;250;800;450;;;;
Julio;7;2019;jul-19;Alcachofa;Española;Segunda;$/unidad;200;600;325;;;;
Agosto;8;2019;ago-19;Alcachofa;Española;Primera;$/unidad;200;700;454;;;;
Agosto;8;2019;ago-19;Alcachofa;Española;Segunda;$/unidad;200;400;346;;;;
Septiembre;9;2019;sept-19;Alcachofa;Española;Primera;$/unidad;200;700;368;132;76500;;
Septiembre;9;2019;sept-19;Alcachofa;Española;Segunda;$/unidad;166;400;281;100;30600;;
Octubre;10;2019;oct-19;Alcachofa;Española;Primera;$/unidad;166;700;296;237;370000;;
Octubre;10;2019;oct-19;Alcachofa;Española;Segunda;$/unidad;130;600;233;185;197000;;
Noviembre;11;2019;nov-19;Alcachofa;Española;Primera;$/unidad;125;600;225;115;531000;;
Noviembre;11;2019;nov-19;Alcachofa;Española;Segunda;$/unidad;100;300;155;86;327000;;
Marzo;3;2019;mar-19;Apio;Americana (o);Primera;$/unidad;600;1.500;935;;;;
Marzo;3;2019;mar-19;Apio;Americana (o);Segunda;$/unidad;500;1.000;719;;;;
Abril;4;2019;abr-19;Apio;Americana (o);Primera;$/unidad;600;1.500;955;469;21600;1800*docena de matas;5622/docena de matas
Abril;4;2019;abr-19;Apio;Americana (o);Segunda;$/unidad;400;1.000;746;325;11880;990*docena de matas;3899/docena de matas
Mayo;5;2019;may-19;Apio;Americana (o);Primera;$/unidad;600;1.500;895;;;;
Mayo;5;2019;may-19;Apio;Americana (o);Segunda;$/unidad;400;1.200;659;;;;
Junio;6;2019;jun-19;Apio;Americana (o);Primera;$/unidad;600;1.500;918;;;;
Junio;6;2019;jun-19;Apio;Americana (o);Segunda;$/unidad;500;1.000;646;;;;
Julio;7;2019;jul-19;Apio;Americana (o);Primera;$/unidad;600;1.500;914;;;;
Julio;7;2019;jul-19;Apio;Americana (o);Segunda;$/unidad;500;1.000;665;;;;
Agosto;8;2019;ago-19;Apio;Americana (o);Primera;$/unidad;600;1.500;959;;;;
Agosto;8;2019;ago-19;Apio;Americana (o);Segunda;$/unidad;500;1.000;736;;;;
Septiembre;9;2019;sept-19;Apio;Americana (o);Primera;$/unidad;600;1.500;875;500;8400;700*docena de matas;6000/docena de matas
Septiembre;9;2019;sept-19;Apio;Americana (o);Segunda;$/unidad;500;1.000;641;;;;
Octubre;10;2019;oct-19;Apio;Americana (o);Primera;$/unidad;500;1.500;875;297;10560;880*docena de matas;3568/docena de matas
Octubre;10;2019;oct-19;Apio;Americana (o);Segunda;$/unidad;400;800;624;277;33600;2800*docena de matas;3325/docena de matas
Noviembre;11;2019;nov-19;Apio;Americana (o);Primera;$/unidad;500;1.500;900;444;10800;900*docena de matas;5333/docena de matas
Noviembre;11;2019;nov-19;Apio;Americana (o);Segunda;$/unidad;500;900;673;264;10800;900*docena de matas;3167/docena de matas
Diciembre;12;2019;dic-19;Apio;Americana (o);Primera;$/unidad;600;2.000;1.035;;;;
