Mes/Año;Producto;Variedad;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio
mar-19;Durazno;September Sweet;Primera;$/kilo;500;1.400;888
mar-19;Durazno;September Sweet;Segunda;$/kilo;400;800;601
abr-19;Durazno;September Sweet;Primera;$/kilo;800;1.000;857
abr-19;Durazno;September Sweet;Segunda;$/kilo;500;700;600
dic-19;Durazno;Springcrest;Primera;$/kilo;700;1.700;1.137
dic-19;Durazno;Springcrest;Segunda;$/kilo;600;1.000;837
ene-20;Durazno;Springcrest;Primera;$/kilo;800;1.500;1.122
ene-20;Durazno;Springcrest;Segunda;$/kilo;500;1.200;783
feb-20;Durazno;September Sun;Primera;$/kilo;600;1.500;977
feb-20;Durazno;September Sun;Segunda;$/kilo;400;1.000;740
mar-20;Durazno;September Sweet;Primera;$/kilo;600;1.700;1.051
mar-20;Durazno;September Sweet;Segunda;$/kilo;500;1.000;765
mar-19;Frambuesa;Sin especificar;Primera;$/kilo;1.600;3.000;2.186
mar-19;Frambuesa;Sin especificar;Segunda;$/kilo;1.800;2.600;2.300
abr-19;Frambuesa;Sin especificar;Primera;$/kilo;1.800;4.000;2.455
abr-19;Frambuesa;Sin especificar;Segunda;$/kilo;1.500;3.000;2.248
may-19;Frambuesa;Sin especificar;Primera;$/kilo;1.800;4.000;2.786
ene-20;Frambuesa;Sin especificar;Primera;$/kilo;1.500;3.000;2.352
ene-20;Frambuesa;Sin especificar;Segunda;$/kilo;1.500;2.500;2.030
feb-20;Frambuesa;Sin especificar;Primera;$/kilo;1.800;3.200;2.540
feb-20;Frambuesa;Sin especificar;Segunda;$/kilo;2.000;3.000;2.350
mar-20;Frambuesa;Sin especificar;Primera;$/kilo;1.500;4.000;3.057
mar-20;Frambuesa;Sin especificar;Segunda;$/kilo;2.200;2.500;2.450
mar-19;Frutilla;Sin especificar;Primera;$/kilo;750;1.500;1.084
mar-19;Frutilla;Sin especificar;Segunda;$/kilo;690;1.000;753
abr-19;Frutilla;Sin especificar;Primera;$/kilo;790;1.600;1.100
abr-19;Frutilla;Sin especificar;Segunda;$/kilo;600;1.200;787
may-19;Frutilla;Sin especificar;Primera;$/kilo;800;1.600;1.168
may-19;Frutilla;Sin especificar;Segunda;$/kilo;700;1.200;901
oct-19;Frutilla;Sin especificar;Primera;$/kilo;700;2.000;1.160
oct-19;Frutilla;Sin especificar;Segunda;$/kilo;600;1.500;836
nov-19;Frutilla;Sin especificar;Primera;$/kilo;900;1.800;1.214
nov-19;Frutilla;Sin especificar;Segunda;$/kilo;650;1.000;856
dic-19;Frutilla;Sin especificar;Primera;$/kilo;800;2.000;1.259
dic-19;Frutilla;Sin especificar;Segunda;$/kilo;700;1.400;960
ene-20;Frutilla;Sin especificar;Primera;$/kilo;900;2.000;1.336
ene-20;Frutilla;Sin especificar;Segunda;$/kilo;750;1.400;1.047
feb-20;Frutilla;Sin especificar;Primera;$/kilo;1.000;1.900;1.356
feb-20;Frutilla;Sin especificar;Segunda;$/kilo;800;1.300;1.088
