Mes/Año;Producto;Variedad;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio
mar-19;Ajo;Chino;Primera;$/unidad;100;350;191
mar-19;Ajo;Chino;Segunda;$/unidad;100;200;115
abr-19;Ajo;Chino;Primera;$/unidad;100;350;183
abr-19;Ajo;Chino;Segunda;$/unidad;100;150;109
may-19;Ajo;Chino;Primera;$/unidad;100;350;173
may-19;Ajo;Chino;Segunda;$/unidad;70;166;113
jun-19;Ajo;Chino;Primera;$/unidad;100;400;186
jun-19;Ajo;Chino;Segunda;$/unidad;100;300;122
jul-19;Ajo;Chino;Primera;$/unidad;100;400;200
jul-19;Ajo;Chino;Segunda;$/unidad;100;166;125
ago-19;Ajo;Chino;Primera;$/unidad;150;350;215
ago-19;Ajo;Chino;Segunda;$/unidad;100;200;134
sept-19;Ajo;Chino;Primera;$/unidad;150;400;218
sept-19;Ajo;Chino;Segunda;$/unidad;100;300;146
oct-19;Ajo;Chino;Primera;$/unidad;150;400;216
oct-19;Ajo;Chino;Segunda;$/unidad;100;200;140
nov-19;Ajo;Chino;Primera;$/unidad;100;400;214
nov-19;Ajo;Chino;Segunda;$/unidad;100;200;133
dic-19;Ajo;Chino;Primera;$/unidad;100;400;208
dic-19;Ajo;Chino;Segunda;$/unidad;70;200;137
ene-20;Ajo;Chino;Primera;$/unidad;150;400;224
ene-20;Ajo;Chino;Segunda;$/unidad;100;250;148
feb-20;Ajo;Chino;Primera;$/unidad;166;400;251
feb-20;Ajo;Chino;Segunda;$/unidad;100;250;167
mar-20;Ajo;Chino;Primera;$/unidad;150;450;282
mar-20;Ajo;Chino;Segunda;$/unidad;150;250;177
may-19;Alcachofa;Española;Primera;$/unidad;200;900;466
may-19;Alcachofa;Española;Segunda;$/unidad;400;1.000;650
jun-19;Alcachofa;Española;Primera;$/unidad;200;800;433
jun-19;Alcachofa;Española;Segunda;$/unidad;150;400;320
jul-19;Alcachofa;Española;Primera;$/unidad;250;800;450
jul-19;Alcachofa;Española;Segunda;$/unidad;200;600;325
ago-19;Alcachofa;Española;Primera;$/unidad;200;700;454
ago-19;Alcachofa;Española;Segunda;$/unidad;200;400;346
sept-19;Alcachofa;Española;Primera;$/unidad;200;700;368
sept-19;Alcachofa;Española;Segunda;$/unidad;166;400;281
oct-19;Alcachofa;Española;Primera;$/unidad;166;700;296
oct-19;Alcachofa;Española;Segunda;$/unidad;130;600;233
nov-19;Alcachofa;Española;Primera;$/unidad;125;600;225
nov-19;Alcachofa;Española;Segunda;$/unidad;100;300;155
mar-19;Apio;Americana (o);Primera;$/unidad;600;1.500;935
mar-19;Apio;Americana (o);Segunda;$/unidad;500;1.000;719
abr-19;Apio;Americana (o);Primera;$/unidad;600;1.500;955
abr-19;Apio;Americana (o);Segunda;$/unidad;400;1.000;746
may-19;Apio;Americana (o);Primera;$/unidad;600;1.500;895
may-19;Apio;Americana (o);Segunda;$/unidad;400;1.200;659
jun-19;Apio;Americana (o);Primera;$/unidad;600;1.500;918
jun-19;Apio;Americana (o);Segunda;$/unidad;500;1.000;646
jul-19;Apio;Americana (o);Primera;$/unidad;600;1.500;914
jul-19;Apio;Americana (o);Segunda;$/unidad;500;1.000;665
ago-19;Apio;Americana (o);Primera;$/unidad;600;1.500;959
ago-19;Apio;Americana (o);Segunda;$/unidad;500;1.000;736
sept-19;Apio;Americana (o);Primera;$/unidad;600;1.500;875
sept-19;Apio;Americana (o);Segunda;$/unidad;500;1.000;641
oct-19;Apio;Americana (o);Primera;$/unidad;500;1.500;875
oct-19;Apio;Americana (o);Segunda;$/unidad;400;800;624
nov-19;Apio;Americana (o);Primera;$/unidad;500;1.500;900
nov-19;Apio;Americana (o);Segunda;$/unidad;500;900;673
dic-19;Apio;Americana (o);Primera;$/unidad;600;2.000;1.035
dic-19;Apio;Americana (o);Segunda;$/unidad;600;1.000;763
ene-20;Apio;Americana (o);Primera;$/unidad;700;2.000;1.203
ene-20;Apio;Americana (o);Segunda;$/unidad;600;1.200;911
feb-20;Apio;Americana (o);Primera;$/unidad;1.000;1.800;1.236
feb-20;Apio;Americana (o);Segunda;$/unidad;800;1.500;976
mar-20;Apio;Americana (o);Primera;$/unidad;700;2.000;1.070
mar-20;Apio;Americana (o);Segunda;$/unidad;500;1.400;813
mar-19;Arveja Verde;Sin especificar;Primera;$/kilo;800;1.600;1.083
mar-19;Arveja Verde;Sin especificar;Segunda;$/kilo;800;800;800
abr-19;Arveja Verde;Sin especificar;Primera;$/kilo;800;1.400;1.060
abr-19;Arveja Verde;Sin especificar;Segunda;$/kilo;800;900;833
may-19;Arveja Verde;Sin especificar;Primera;$/kilo;800;1.500;1.145
may-19;Arveja Verde;Sin especificar;Segunda;$/kilo;800;1.000;933
jun-19;Arveja Verde;Sin especificar;Primera;$/kilo;800;1.600;1.141
jun-19;Arveja Verde;Sin especificar;Segunda;$/kilo;750;1.000;883
jul-19;Arveja Verde;Sin especificar;Primera;$/kilo;700;1.600;1.117
jul-19;Arveja Verde;Sin especificar;Segunda;$/kilo;600;1.200;985
ago-19;Arveja Verde;Sin especificar;Primera;$/kilo;700;1.600;1.139
ago-19;Arveja Verde;Sin especificar;Segunda;$/kilo;1.000;1.200;1.014
sept-19;Arveja Verde;Sin especificar;Primera;$/kilo;700;1.600;1.089
sept-19;Arveja Verde;Sin especificar;Segunda;$/kilo;800;1.200;943
oct-19;Arveja Verde;Sin especificar;Primera;$/kilo;700;1.500;1.028
oct-19;Arveja Verde;Sin especificar;Segunda;$/kilo;500;1.200;861
nov-19;Arveja Verde;Sin especificar;Primera;$/kilo;600;1.500;942
nov-19;Arveja Verde;Sin especificar;Segunda;$/kilo;500;1.000;700
dic-19;Arveja Verde;Sin especificar;Primera;$/kilo;500;1.500;933
dic-19;Arveja Verde;Sin especificar;Segunda;$/kilo;600;1.000;679
ene-20;Arveja Verde;Sin especificar;Primera;$/kilo;700;1.800;1.020
ene-20;Arveja Verde;Sin especificar;Segunda;$/kilo;700;800;756
feb-20;Arveja Verde;Sin especificar;Primera;$/kilo;800;1.600;1.111
feb-20;Arveja Verde;Sin especificar;Segunda;$/kilo;700;1.200;943
mar-20;Arveja Verde;Sin especificar;Primera;$/kilo;700;1.400;1.030
mar-20;Arveja Verde;Sin especificar;Segunda;$/kilo;800;1.000;858
mar-19;Brócoli;Sin especificar;Primera;$/unidad;500;2.600;808
mar-19;Brócoli;Sin especificar;Segunda;$/unidad;400;1.000;571
abr-19;Brócoli;Sin especificar;Primera;$/unidad;600;1.500;973
abr-19;Brócoli;Sin especificar;Segunda;$/unidad;500;1.000;704
may-19;Brócoli;Sin especificar;Primera;$/unidad;600;1.400;893
may-19;Brócoli;Sin especificar;Segunda;$/unidad;500;800;683
jun-19;Brócoli;Sin especificar;Primera;$/unidad;600;1.400;842
jun-19;Brócoli;Sin especificar;Segunda;$/unidad;400;1.000;631
jul-19;Brócoli;Sin especificar;Primera;$/unidad;500;1.200;821
jul-19;Brócoli;Sin especificar;Segunda;$/unidad;300;800;611
ago-19;Brócoli;Sin especificar;Primera;$/unidad;450;1.200;727
ago-19;Brócoli;Sin especificar;Segunda;$/unidad;250;700;488
sept-19;Brócoli;Sin especificar;Primera;$/unidad;400;1.000;737
sept-19;Brócoli;Sin especificar;Segunda;$/unidad;300;700;533
oct-19;Brócoli;Sin especificar;Primera;$/unidad;400;1.200;728
oct-19;Brócoli;Sin especificar;Segunda;$/unidad;250;800;524
nov-19;Brócoli;Sin especificar;Primera;$/unidad;500;1.000;673
nov-19;Brócoli;Sin especificar;Segunda;$/unidad;300;700;483
dic-19;Brócoli;Sin especificar;Primera;$/unidad;500;1.200;694
dic-19;Brócoli;Sin especificar;Segunda;$/unidad;350;800;515
ene-20;Brócoli;Sin especificar;Primera;$/unidad;600;1.600;869
ene-20;Brócoli;Sin especificar;Segunda;$/unidad;350;1.000;642
feb-20;Brócoli;Sin especificar;Primera;$/unidad;650;1.500;1.115
feb-20;Brócoli;Sin especificar;Segunda;$/unidad;500;1.300;847
mar-20;Brócoli;Sin especificar;Primera;$/unidad;800;2.500;1.317
mar-20;Brócoli;Sin especificar;Segunda;$/unidad;700;2.000;972
mar-19;Cebolla;Sin especificar;1a (cosecha);$/kilo;250;700;481
mar-19;Cebolla;Sin especificar;1a (cosecha);$/unidad;100;500;176
mar-19;Cebolla;Sin especificar;2a (cosecha);$/kilo;200;450;383
mar-19;Cebolla;Sin especificar;2a (cosecha);$/unidad;70;300;120
abr-19;Cebolla;Sin especificar;1a (cosecha);$/kilo;450;500;475
abr-19;Cebolla;Sin especificar;1a (cosecha);$/unidad;100;400;176
abr-19;Cebolla;Sin especificar;2a (cosecha);$/kilo;400;450;413
abr-19;Cebolla;Sin especificar;2a (cosecha);$/unidad;70;300;113
may-19;Cebolla;Sin especificar;1a (guarda);$/kilo;450;1.000;590
may-19;Cebolla;Sin especificar;1a (guarda);$/unidad;100;400;182
may-19;Cebolla;Sin especificar;2a (guarda);$/kilo;400;700;536
may-19;Cebolla;Sin especificar;2a (guarda);$/unidad;80;250;124
jun-19;Cebolla;Sin especificar;1a (guarda);$/kilo;400;800;623
jun-19;Cebolla;Sin especificar;1a (guarda);$/unidad;100;500;186
jun-19;Cebolla;Sin especificar;2a (guarda);$/kilo;350;700;550
jun-19;Cebolla;Sin especificar;2a (guarda);$/unidad;80;150;123
jul-19;Cebolla;Sin especificar;1a (guarda);$/kilo;400;700;535
jul-19;Cebolla;Sin especificar;1a (guarda);$/unidad;100;500;185
jul-19;Cebolla;Sin especificar;2a (guarda);$/kilo;400;600;472
jul-19;Cebolla;Sin especificar;2a (guarda);$/unidad;75;300;123
ago-19;Cebolla;Sin especificar;1a (guarda);$/kilo;400;800;643
ago-19;Cebolla;Sin especificar;1a (guarda);$/unidad;100;400;207
ago-19;Cebolla;Sin especificar;2a (guarda);$/kilo;400;700;530
ago-19;Cebolla;Sin especificar;2a (guarda);$/unidad;70;250;136
sept-19;Cebolla;Sin especificar;1a (guarda);$/kilo;400;1.000;729
sept-19;Cebolla;Sin especificar;1a (guarda);$/unidad;150;500;223
sept-19;Cebolla;Sin especificar;2a (guarda);$/kilo;500;700;608
sept-19;Cebolla;Sin especificar;2a (guarda);$/unidad;100;350;150
oct-19;Cebolla;Sin especificar;1a (guarda);$/kilo;500;1.000;795
oct-19;Cebolla;Sin especificar;1a (guarda);$/unidad;100;500;220
oct-19;Cebolla;Sin especificar;1a nueva(o);$/kilo;150;1.000;632
oct-19;Cebolla;Sin especificar;1a nueva(o);$/unidad;100;450;169
oct-19;Cebolla;Sin especificar;2a (guarda);$/kilo;100;700;456
oct-19;Cebolla;Sin especificar;2a (guarda);$/unidad;100;350;146
oct-19;Cebolla;Sin especificar;2a nueva(o);$/kilo;300;400;344
oct-19;Cebolla;Sin especificar;2a nueva(o);$/unidad;60;250;104
nov-19;Cebolla;Sin especificar;1a (guarda);$/kilo;1.000;1.000;1.000
nov-19;Cebolla;Sin especificar;1a (guarda);$/unidad;125;500;206
nov-19;Cebolla;Sin especificar;1a nueva(o);$/kilo;399;1.000;606
nov-19;Cebolla;Sin especificar;1a nueva(o);$/unidad;90;450;161
nov-19;Cebolla;Sin especificar;2a (guarda);$/unidad;80;150;132
nov-19;Cebolla;Sin especificar;2a nueva(o);$/kilo;60;400;286
nov-19;Cebolla;Sin especificar;2a nueva(o);$/unidad;50;250;101
dic-19;Cebolla;Sin especificar;1a (guarda);$/unidad;80;200;143
dic-19;Cebolla;Sin especificar;1a nueva(o);$/kilo;400;600;500
dic-19;Cebolla;Sin especificar;1a nueva(o);$/unidad;75;500;137
dic-19;Cebolla;Sin especificar;2a (guarda);$/unidad;125;125;125
dic-19;Cebolla;Sin especificar;2a nueva(o);$/kilo;400;500;450
dic-19;Cebolla;Sin especificar;2a nueva(o);$/unidad;40;200;85
ene-20;Cebolla;Sin especificar;1a nueva(o);$/kilo;400;450;433
ene-20;Cebolla;Sin especificar;1a nueva(o);$/unidad;80;400;162
ene-20;Cebolla;Sin especificar;2a nueva(o);$/kilo;400;450;408
ene-20;Cebolla;Sin especificar;2a nueva(o);$/unidad;50;250;102
feb-20;Cebolla;Sin especificar;1a nueva(o);$/kilo;450;600;550
feb-20;Cebolla;Sin especificar;1a nueva(o);$/unidad;100;400;174
feb-20;Cebolla;Sin especificar;2a nueva(o);$/kilo;400;500;470
feb-20;Cebolla;Sin especificar;2a nueva(o);$/unidad;70;250;120
mar-20;Cebolla;Sin especificar;1a (cosecha);$/kilo;390;450;420
mar-20;Cebolla;Sin especificar;1a (cosecha);$/unidad;90;400;184
mar-20;Cebolla;Sin especificar;1a nueva(o);$/unidad;100;200;129
mar-20;Cebolla;Sin especificar;2a (cosecha);$/kilo;100;390;245
mar-20;Cebolla;Sin especificar;2a (cosecha);$/unidad;60;300;122
mar-19;Choclo;Dulce o Americano;Primera;$/unidad;150;500;253
