mes;probabilidad;mes_frost;dias_frost;rango 1;rango 2;rango 3;rango 4;rango 5;rango 6
Enero;0;0;0;0;0;0;0;0;0
Febrero;0;0;0;0;0;0;0;0;0
Marzo;0;0;0;0;0;0;0;0;0
Abril;0,08;0,003;0,1;0,66;0,34;0;0;0;0
Mayo;0,7;0,07;2,3;0,61;0,22;0,12;0,04;0;0,01
Junio;0,92;0,2;6;0,43;0,26;0,18;0,08;0,05;0
Julio;0,92;0,3;8,5;0,4;0,31;0,16;0,09;0,04;0
Agosto;0,9;0,17;5,5;0,45;0,29;0,18;0,05;0,03;0
Septiembre;0,4;0,03;1;0,75;0,21;0,04;0;0;0
Octubre;0,04;0,003;0,1;0;0,5;0,5;0;0;0
Noviembre;0;0;0;0;0;0;0;0;0
Diciembre;0;0;0;0;0;0;0;0;0
