"temperature","Date"
29.6,"01-01-2020"
30.7,"02-01-2020"
30.8,"03-01-2020"
31.6,"04-01-2020"
24.3,"05-01-2020"
27.2,"06-01-2020"
29.6,"07-01-2020"
24,"08-01-2020"
29.8,"09-01-2020"
32.8,"10-01-2020"
33.7,"11-01-2020"
32.7,"12-01-2020"
33,"13-01-2020"
31.9,"14-01-2020"
33.8,"15-01-2020"
33.6,"16-01-2020"
33.6,"17-01-2020"
33.9,"18-01-2020"
28.3,"19-01-2020"
32.7,"20-01-2020"
31.4,"21-01-2020"
30.6,"22-01-2020"
30.9,"23-01-2020"
32.5,"24-01-2020"
34,"25-01-2020"
34.5,"26-01-2020"
34.3,"27-01-2020"
32.4,"28-01-2020"
30,"29-01-2020"
32.9,"30-01-2020"
33.5,"31-01-2020"
32.2,"01-02-2020"
32.5,"02-02-2020"
31.8,"03-02-2020"
29.5,"04-02-2020"
27.8,"05-02-2020"
29.4,"06-02-2020"
33.3,"07-02-2020"
34.3,"08-02-2020"
32.4,"09-02-2020"
31.3,"10-02-2020"
31.2,"11-02-2020"
30.1,"12-02-2020"
30.3,"13-02-2020"
33.3,"14-02-2020"
33.1,"15-02-2020"
31.5,"16-02-2020"
29.2,"17-02-2020"
35,"18-02-2020"
34.5,"19-02-2020"
33.2,"20-02-2020"
27.6,"21-02-2020"
27.7,"22-02-2020"
27.5,"23-02-2020"
25.8,"24-02-2020"
31,"25-02-2020"
34.7,"26-02-2020"
31.9,"27-02-2020"
33.1,"28-02-2020"
32.1,"29-02-2020"
28.2,"01-03-2020"
29.5,"02-03-2020"
31.9,"03-03-2020"
32.1,"04-03-2020"
35,"05-03-2020"
30.7,"06-03-2020"
32,"07-03-2020"
32.3,"08-03-2020"
33.7,"09-03-2020"
32.5,"10-03-2020"
32.3,"11-03-2020"
29.3,"12-03-2020"
28.6,"13-03-2020"
30.5,"14-03-2020"
31.5,"15-03-2020"
26.6,"16-03-2020"
27.7,"17-03-2020"
29.1,"18-03-2020"
29.7,"19-03-2020"
28.1,"20-03-2020"
21.3,"21-03-2020"
26.9,"22-03-2020"
30.7,"23-03-2020"
29.8,"24-03-2020"
29.1,"25-03-2020"
27,"26-03-2020"
21.1,"27-03-2020"
22.9,"28-03-2020"
27.8,"29-03-2020"
31.1,"30-03-2020"
29.7,"31-03-2020"
29.3,"01-04-2020"
33.9,"02-04-2020"
27.4,"03-04-2020"
26.3,"04-04-2020"
26.4,"05-04-2020"
30,"06-04-2020"
31.5,"07-04-2020"
25.1,"08-04-2020"
23.1,"09-04-2020"
22.4,"10-04-2020"
20.5,"11-04-2020"
19.4,"12-04-2020"
24.5,"13-04-2020"
27.6,"14-04-2020"
23.4,"15-04-2020"
26.2,"16-04-2020"
29.4,"17-04-2020"
29,"18-04-2020"
29.6,"19-04-2020"
30.4,"20-04-2020"
30,"21-04-2020"
27.8,"22-04-2020"
18.8,"23-04-2020"
17.6,"24-04-2020"
22.9,"25-04-2020"
21.5,"26-04-2020"
21.4,"27-04-2020"
23.8,"28-04-2020"
26.5,"29-04-2020"
24.1,"30-04-2020"
26,"01-05-2020"
23.6,"02-05-2020"
22.7,"03-05-2020"
24.2,"04-05-2020"
26.3,"05-05-2020"
29,"06-05-2020"
29.4,"07-05-2020"
26.1,"08-05-2020"
25.5,"09-05-2020"
19.3,"10-05-2020"
20.9,"11-05-2020"
16,"12-05-2020"
22.3,"13-05-2020"
23.4,"14-05-2020"
27.1,"15-05-2020"
27.5,"16-05-2020"
27.9,"17-05-2020"
21.1,"18-05-2020"
12.1,"19-05-2020"
13.9,"20-05-2020"
15.6,"21-05-2020"
19.4,"22-05-2020"
24.2,"23-05-2020"
27.2,"24-05-2020"
30.7,"25-05-2020"
22.3,"26-05-2020"
12.3,"27-05-2020"
14.9,"28-05-2020"
14.9,"29-05-2020"
19,"30-05-2020"
20.3,"31-05-2020"
20.6,"01-06-2020"
13.6,"02-06-2020"
12.3,"03-06-2020"
15.3,"04-06-2020"
17.6,"05-06-2020"
17.6,"06-06-2020"
15,"07-06-2020"
11.6,"08-06-2020"
18.5,"09-06-2020"
16.6,"10-06-2020"
12.2,"11-06-2020"
13.8,"12-06-2020"
19.2,"13-06-2020"
24.3,"14-06-2020"
14.3,"15-06-2020"
14.1,"16-06-2020"
12.4,"17-06-2020"
11.3,"18-06-2020"
14.4,"19-06-2020"
12,"20-06-2020"
14.9,"21-06-2020"
11.9,"22-06-2020"
13.5,"23-06-2020"
12.6,"24-06-2020"
10.8,"25-06-2020"
14.8,"26-06-2020"
15.7,"27-06-2020"
16.1,"28-06-2020"
11.1,"29-06-2020"
12.9,"30-06-2020"
14.8,"01-07-2020"
17.7,"02-07-2020"
18.6,"03-07-2020"
9.4,"04-07-2020"
13.3,"05-07-2020"
12.6,"06-07-2020"
15.3,"07-07-2020"
14.9,"08-07-2020"
17.3,"09-07-2020"
14.3,"10-07-2020"
15.8,"11-07-2020"
18.2,"12-07-2020"
23.4,"13-07-2020"
23.8,"14-07-2020"
22.5,"15-07-2020"
11.3,"16-07-2020"
13.7,"17-07-2020"
13.9,"18-07-2020"
