"year","month","days","heatwave"
"2020","Enero",7,2
"2020","Febrero",3,1
"2020","Marzo",5,1
"2020","Abril",6,1
"2020","Mayo",11,3
"2020","Junio",0,0
"2020","Julio",3,1
"2020","Agosto",3,1
"2020","Septiembre",7,1
"2020","Octubre",4,1
"2020","Noviembre",0,0
"2020","Diciembre",0,0
"2021","Enero",3,1
"2021","Febrero",3,1
"2021","Marzo",3,1
"2021","Abril",6,1
"2021","Mayo",11,3
"2021","Junio",0,0
"2021","Julio",3,1
"2021","Agosto",3,1
"2021","Septiembre",6,1
"2021","Octubre",4,1
"2021","Noviembre",0,0
"2021","Diciembre",0,0
"2022","Enero",6,2
"2022","Febrero",3,1
"2022","Marzo",3,1
"2022","Abril",6,1
"2022","Mayo",12,3
"2022","Junio",0,0
"2022","Julio",3,1
"2022","Agosto",3,1
"2022","Septiembre",7,1
"2022","Octubre",4,1
"2022","Noviembre",0,0
"2022","Diciembre",0,0
