"month","year","Point.Forecast"
"Enero","2020",0
"Febrero","2020",0
"Marzo","2020",0
"Abril","2020",2.5
"Mayo","2020",3.6
"Junio","2020",110.1
"Julio","2020",64.6
"Agosto","2020",6.9
"Septiembre","2020",0
"Octubre","2020",0
"Noviembre","2020",0
"Diciembre","2020",0
"Enero","2021",1.4758619979687
"Febrero","2021",2.45639655392637
"Marzo","2021",4.82677770543698
"Abril","2021",15.7880756827699
"Mayo","2021",37.8277781423473
"Junio","2021",60.8773703728744
"Julio","2021",44.5699327963691
"Agosto","2021",44.7656645635435
"Septiembre","2021",22.7973002593882
"Octubre","2021",14.9845445054716
"Noviembre","2021",6.86159205318682
"Diciembre","2021",4.91350617515755
"Enero","2022",2.49859618438914
"Febrero","2022",3.08664490389267
"Marzo","2022",4.26602015105782
"Abril","2022",14.7057244658986
"Mayo","2022",32.6370058445612
"Junio","2022",67.6820954048178
"Julio","2022",43.4104926950026
"Agosto","2022",39.9657454578227
"Septiembre","2022",21.9508769220854
"Octubre","2022",13.1580823926974
"Noviembre","2022",5.84580760847091
"Diciembre","2022",4.2601584411398
