"month","year","Point.Forecast","Lo.20","Hi.20","Lo.40","Hi.40","Lo.80","Hi.80"
"Enero","2020",0,NA,NA,NA,NA,NA,NA
"Febrero","2020",0,NA,NA,NA,NA,NA,NA
"Marzo","2020",0,NA,NA,NA,NA,NA,NA
"Abril","2020",2.5,NA,NA,NA,NA,NA,NA
"Mayo","2020",3.6,NA,NA,NA,NA,NA,NA
"Junio","2020",110.1,NA,NA,NA,NA,NA,NA
"Julio","2020",64.6,NA,NA,NA,NA,NA,NA
"Agosto","2020",6.9,NA,NA,NA,NA,NA,NA
"Septiembre","2020",0,NA,NA,NA,NA,NA,NA
"Octubre","2020",0,NA,NA,NA,NA,NA,NA
"Noviembre","2020",0,NA,NA,NA,NA,NA,NA
"Diciembre","2020",0,NA,NA,NA,NA,NA,NA
"Enero","2021",1.4758619979687,-7.5499189924228,10.5016429883602,-17.2065074484059,20.1582314443433,-44.1808817158078,47.1326057117452
"Febrero","2021",2.45639655392637,-6.64934565505852,11.5621387629113,-16.3914837805071,21.3042768883598,-43.6048294831246,48.5176225909773
"Marzo","2021",4.82677770543698,-4.28403371033896,13.9375891212129,-14.0315953269881,23.685150737862,-41.2600908190106,50.9136462298846
"Abril","2021",15.7880756827699,6.67550551557442,24.9006458499653,-3.07393777077979,34.6500891363195,-30.3076894527192,61.883840818259
"Mayo","2021",37.8277781423473,28.7145976304315,46.9409586542631,18.9645013426598,56.6910549420348,-8.27107441045266,83.9266306951473
"Junio","2021",60.8773703728744,51.7639780333142,69.9907627124347,42.0136551133664,79.7410856323824,14.7774462939112,106.977294451838
"Julio","2021",44.5699327963691,35.4564669374664,53.6833986552719,25.706065359945,63.4338002327933,-1.53036317880781,90.6702287715461
"Agosto","2021",44.7656645635435,35.6521731885242,53.8791559385629,25.9017443115771,63.62958481551,-1.33476048443035,90.8660896115174
"Septiembre","2021",22.7973002593882,13.683800030312,31.9108004884643,3.93336168050239,41.6612388382739,-23.3031695766658,68.8977700954421
"Octubre","2021",14.9845445054716,5.87104120914448,24.0980478017988,-3.87940042228487,33.8484894332281,-31.115940846214,61.0850298571573
"Noviembre","2021",6.86159205318682,-2.25191229101585,15.9750963973895,-12.0023550435563,25.7255391499299,-39.2388985991575,52.9620827055312
"Diciembre","2021",4.91350617515755,-4.19999824184916,14.0270105921643,-13.9504410722818,23.7774534225969,-41.1869848454647,51.0139971957798
"Enero","2022",2.59780720609863,-6.52704701540328,11.7226614276005,-16.2896328826748,21.4852472948721,-43.5600965875114,48.7557109997086
"Febrero","2022",2.83020844167288,-6.29484332372834,11.9552602070741,-16.0576405411467,21.7180574244925,-43.3286946240436,48.9891115073894
"Marzo","2022",4.69265579526942,-4.4324080529779,13.8177196435167,-14.1952181977067,23.5805297882455,-41.4663083912973,50.8516199818361
"Abril","2022",14.3617554170349,5.2366873751078,23.4868234589621,-4.52612725639503,33.2496380904649,-31.7972299831824,60.5207408172523
"Mayo","2022",33.7012775329434,24.5762080355045,42.8263470303824,14.8133918467648,52.5891632191221,-12.4577152299532,79.8602702958401
"Junio","2022",65.8034638390461,56.6783938364946,74.9285338415976,46.9155771073403,84.6913505707519,19.6444685210473,111.962459157045
"Julio","2022",46.2325321158083,37.1074619381269,55.3576022934897,27.344645021603,65.1204192100137,0.0735359119181069,92.3915283196986
"Agosto","2022",39.9279970764782,30.8029268385419,49.0530673144145,21.040109857552,58.8158842954044,-6.23099943221003,86.0869935851665
"Septiembre","2022",20.2218714313283,11.0968011740028,29.3469416886538,1.33398417226844,39.1097586903882,-25.9371251754402,66.3808680380968
"Octubre","2022",13.2651476707127,4.14007741104815,22.3902179303772,-5.62273959318867,32.153034934614,-32.8938489478876,59.424144289313
"Noviembre","2022",6.12825456862809,-2.99681567919813,15.2533248164543,-12.7596326707693,25.0161418080254,-40.0307419900883,52.2872511273445
"Diciembre","2022",4.43148104148148,-4.6935889818276,13.5565510647906,-14.4564057331902,23.3193678161531,-41.7275143815192,50.5904764644821
