"month","year","Point.Forecast"
"Enero","2020",0
"Febrero","2020",0
"Marzo","2020",0
"Abril","2020",2.5
"Mayo","2020",3.6
"Junio","2020",110.1
"Julio","2020",64.6
"Agosto","2020",6.9
"Septiembre","2020",0
"Octubre","2020",0
"Noviembre","2020",0
"Diciembre","2020",0
"Enero","2021",1.4758619979687
"Febrero","2021",2.45639655392637
"Marzo","2021",4.82677770543698
"Abril","2021",15.7880756827699
"Mayo","2021",37.8277781423473
"Junio","2021",60.8773703728744
"Julio","2021",44.5699327963691
"Agosto","2021",44.7656645635435
"Septiembre","2021",22.7973002593882
"Octubre","2021",14.9845445054716
"Noviembre","2021",6.86159205318682
"Diciembre","2021",4.91350617515755
"Enero","2022",2.66447093656666
"Febrero","2022",3.3445986366622
"Marzo","2022",5.57952547582014
"Abril","2022",13.0675548904137
"Mayo","2022",33.0413401927829
"Junio","2022",72.4185212245741
"Julio","2022",39.659124844852
"Agosto","2022",47.6138547186229
"Septiembre","2022",16.5535733091383
"Octubre","2022",13.9439427070461
"Noviembre","2022",6.35064822210213
"Diciembre","2022",5.20131779732065
